country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
Mexico,National (ENSANUT),23.0,-102.0,Women 20-49,4162,Summer,27,ng/mL,67.4,2012-2019,Flores et al. 2017,"Flores M, Macias N, Lozada A, et al. Vitamin D status by sociodemographic factors and body mass index in Mexican women at reproductive age. Salud Publica Mex. 2017;59(5):518-525.",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342017000500518,National nutrition survey,CMIA
Mexico,National (ENSANUT),23.0,-102.0,Women 20-49,4162,Winter,23,ng/mL,57.4,2012-2019,Flores et al. 2017,"Flores M, Macias N, Lozada A, et al. Vitamin D status by sociodemographic factors and body mass index in Mexican women at reproductive age. Salud Publica Mex. 2017;59(5):518-525.",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342017000500518,National nutrition survey,CMIA
France,National (VARIETE),47.0,2.0,Adults,892,Apr-Dec,26,ng/mL,64.9,2010-2013,Souberbielle et al. 2016,"Souberbielle JC, Massart C, Brailly-Tabard S, et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/,Cross-sectional,CLIA (DiaSorin)
France,National (VARIETE),47.0,2.0,Adults,892,Jan-Mar,19,ng/mL,47.4,2010-2013,Souberbielle et al. 2016,"Souberbielle JC, Massart C, Brailly-Tabard S, et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/,Cross-sectional,CLIA (DiaSorin)
Switzerland,Lucerne,47.0,8.3,Primary care adults,1682,End of summer,53.4,nmol/L,53.4,2011-2012,Merlo et al. 2015,"Merlo C, Trummler M, Essig S, Zeller A. Vitamin D Deficiency in Unselected Patients from Swiss Primary Care: A Cross-Sectional Study in Two Seasons. PLoS ONE. 2015;10(9):e0138613.",https://pubmed.ncbi.nlm.nih.gov/26372355/,Cross-sectional two seasons,ELISA
Switzerland,Lucerne,47.0,8.3,Primary care adults,1682,End of winter,41.6,nmol/L,41.6,2011-2012,Merlo et al. 2015,"Merlo C, Trummler M, Essig S, Zeller A. Vitamin D Deficiency in Unselected Patients from Swiss Primary Care: A Cross-Sectional Study in Two Seasons. PLoS ONE. 2015;10(9):e0138613.",https://pubmed.ncbi.nlm.nih.gov/26372355/,Cross-sectional two seasons,ELISA
Denmark,National (StatusD),56.0,10.0,Adults,2565,Autumn (peak),75,nmol/L,75.0,2012-2014,Hansen et al. 2018,"Hansen L, Tjonneland A, Koster B, et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/,Population descriptive,LC-MS/MS
Denmark,National (StatusD),56.0,10.0,Adults,2565,Spring (trough),58,nmol/L,58.0,2012-2014,Hansen et al. 2018,"Hansen L, Tjonneland A, Koster B, et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/,Population descriptive,LC-MS/MS
Iceland,Reykjavik,64.1,-21.9,Adults 30-85,1609,Summer (Jul-Sep),57,nmol/L,57.0,2001-2003,Steingrimsdottir et al. 2006,"Steingrimsdottir L, Gunnarsson O, Indridason OS, et al. Vitamin D intake and serum 25-OH-vitamin D concentration in different age groups of Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/,Population sample,RIA
Iceland,Reykjavik,64.1,-21.9,Adults 30-85,1609,Winter (Jan-Mar),37,nmol/L,37.0,2001-2003,Steingrimsdottir et al. 2006,"Steingrimsdottir L, Gunnarsson O, Indridason OS, et al. Vitamin D intake and serum 25-OH-vitamin D concentration in different age groups of Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/,Population sample,RIA
Greece,Athens/Attica,38.0,23.7,Adults 18-75,1200,Summer,24,ng/mL,59.9,2013-2015,Manios et al. 2017,"Manios Y, Moschonis G, Lambrinou CP, et al. Vitamin D status in Greek adults: the Hellenic National Nutrition and Health Survey. Public Health Nutr. 2017;20(10):1882-1889.",https://pubmed.ncbi.nlm.nih.gov/28478775/,National nutrition survey,CLIA
Greece,Athens/Attica,38.0,23.7,Adults 18-75,1200,Winter,17,ng/mL,42.4,2013-2015,Manios et al. 2017,"Manios Y, Moschonis G, Lambrinou CP, et al. Vitamin D status in Greek adults: the Hellenic National Nutrition and Health Survey. Public Health Nutr. 2017;20(10):1882-1889.",https://pubmed.ncbi.nlm.nih.gov/28478775/,National nutrition survey,CLIA
Pakistan,Karachi,24.9,67.0,OPD adults,577,Summer,24,ng/mL,59.9,2016,Raza et al. 2019,"Raza A, Saeed S, Qureshi R, et al. Incidence of Vitamin D Deficiency in Different Seasons in the Adult Karachi Population. Cureus. 2019;11(7):e5167.",https://pubmed.ncbi.nlm.nih.gov/31528517/,Cross-sectional OPD,ECLIA (Roche)
Pakistan,Karachi,24.9,67.0,OPD adults,577,Winter,18,ng/mL,44.9,2016,Raza et al. 2019,"Raza A, Saeed S, Qureshi R, et al. Incidence of Vitamin D Deficiency in Different Seasons in the Adult Karachi Population. Cureus. 2019;11(7):e5167.",https://pubmed.ncbi.nlm.nih.gov/31528517/,Cross-sectional OPD,ECLIA (Roche)
Spain,Multi-centre,40.0,-3.7,Adults,19196,Summer,23,ng/mL,57.4,2018-2019,Mendes-Cunha et al. 2021,"Mendes-Cunha M, et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/,Retrospective,CLIA
Spain,Multi-centre,40.0,-3.7,Adults,19196,Winter,18,ng/mL,44.9,2018-2019,Mendes-Cunha et al. 2021,"Mendes-Cunha M, et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/,Retrospective,CLIA
Finland,Helsinki,60.2,24.9,Adults (pooled),500,Summer,55,nmol/L,55.0,2006-2014,Cashman et al. 2016,"Cashman KD, Dowling KG, Skrabakova Z, et al. Vitamin D deficiency in Europe: pandemic? Am J Clin Nutr. 2016;103(4):1033-1044.",https://pubmed.ncbi.nlm.nih.gov/26864360/,Pooled VDSP,Various
Finland,Helsinki,60.2,24.9,Adults (pooled),500,Winter,40,nmol/L,40.0,2006-2014,Cashman et al. 2016,"Cashman KD, Dowling KG, Skrabakova Z, et al. Vitamin D deficiency in Europe: pandemic? Am J Clin Nutr. 2016;103(4):1033-1044.",https://pubmed.ncbi.nlm.nih.gov/26864360/,Pooled VDSP,Various
